DATE,CUSIP
4/11/2019,013817AW1
4/11/2019,P989MJBN0
4/11/2019,345370CR9
4/11/2019,P2253TJE0
4/11/2019,G08010BH5
4/11/2019,G20011AC9
4/12/2019,G0457FAD9
4/12/2019,P5015VAD8
4/12/2019,U07265AH1
4/12/2019,71645WAS0
4/12/2019,U76659AW8
4/12/2019,P989MJBE0
4/15/2019,136385AW1
4/15/2019,68389XBR5
4/15/2019,747525AR4
4/15/2019,P8S090HT6
4/15/2019,P989MJBE0
4/15/2019,P7873PAE6
4/15/2019,451913AH0
4/15/2019,61744YAH1
4/15/2019,6174467Y9
4/15/2019,002824BE9
4/15/2019,71647NAY5
4/16/2019,61744YAH1
4/16/2019,151191AW3
4/16/2019,71654QBB7
4/16/2019,71647NAF6
4/16/2019,279158AC3
4/16/2019,00206RCN0
4/16/2019,6174467Y9
4/16/2019,31572UAG1
4/16/2019,71654QBH4
4/16/2019,71647NAV1
4/16/2019,279158AL3
4/16/2019,47233JBH0
4/16/2019,G20011AC9
4/16/2019,74913GAX3
4/16/2019,G42045AB3
4/16/2019,46556MAE2
4/16/2019,88033GCE8
4/16/2019,P3697UAD0
4/16/2019,12505JAD5
4/16/2019,81721MAM1
4/16/2019,88167AAE1
4/16/2019,46556MAA0
4/16/2019,852061AS9
4/18/2019,P1910WMG1
4/18/2019,80282KAT3
4/18/2019,904311AA5
4/22/2019,P989MJBE0
4/22/2019,P1330HBF0
4/22/2019,71647NAM1
4/22/2019,71647NAY5
4/22/2019,78490FJJ9
4/22/2019,35671DBJ3
4/22/2019,257867AG6
4/22/2019,89346DAE7
4/22/2019,47233JAG3
4/22/2019,963320AW6
4/23/2019,530715AJ0
4/23/2019,98372PAJ7
4/23/2019,P3063DAA0
4/23/2019,P04559AL7
4/23/2019,G20011AC9
4/23/2019,P0101KAA4
4/23/2019,71647NAY5
4/23/2019,06051GEU9
4/23/2019,37045VAE0
4/24/2019,345370BW9
4/24/2019,P989MJBL4
4/24/2019,472319AF9
4/24/2019,026874CZ8
4/24/2019,780099CH8
4/24/2019,P28768AA0
4/24/2019,P31925AD5
4/24/2019,71647NAZ2
4/24/2019,S25221AC6
4/24/2019,G1315RAC5
4/24/2019,L4191BBF9
4/24/2019,P14623AB1
4/24/2019,P32086AL7
4/24/2019,N4297BBC7
4/24/2019,71647NAV1
4/24/2019,G07402DP5
4/24/2019,913017CM9
4/24/2019,075887BR9
4/24/2019,00287YAT6
4/24/2019,06051GGB9
4/24/2019,F2893TAN6
4/24/2019,428236BF9
4/24/2019,46556MAJ1
4/24/2019,105756BV1
4/24/2019,907818DZ8
4/24/2019,913017CQ0
4/24/2019,50076QAU0
4/24/2019,651639AL0
4/24/2019,92826CAD4
4/24/2019,345397YE7
4/25/2019,774341AG6
4/25/2019,P6480JAG2
4/25/2019,192108BB3
4/25/2019,G0457FAD9
4/25/2019,P1330HBF0
4/25/2019,U42804AP6
4/25/2019,P1265VAA0
4/25/2019,G20011AC9
4/25/2019,172967JC6
4/25/2019,345370CR9
4/25/2019,P1265VAD4
4/25/2019,404280AU3
4/25/2019,05968LAH5
4/25/2019,71654QCG5
4/26/2019,25152RXA6
4/26/2019,168863BN7
4/26/2019,345370BW9
4/26/2019,36966TKK7
4/26/2019,345370CR9
4/26/2019,25152R2Y8
4/26/2019,75281AAS8
4/26/2019,904311AA5
4/29/2019,74348TAT9
4/29/2019,50076QAE6
4/29/2019,37045VAQ3
4/29/2019,651229AY2
4/29/2019,P989MJBN0
4/29/2019,71647NAM1
4/29/2019,36966TCU4
4/29/2019,71654QCG5
4/30/2019,532716AU1
4/30/2019,928563AB1
4/30/2019,058498AR7
4/30/2019,910047AH2
4/30/2019,88033GCE8
4/30/2019,37045VAQ3
4/30/2019,50076QAE6
4/30/2019,74348TAT9
4/30/2019,61761JQK8
4/30/2019,168863AV0
4/30/2019,71647NAV1
4/30/2019,31572UAG1
4/30/2019,71647NAF6
5/1/2019,25468PDL7
5/1/2019,64966L2M2
5/1/2019,21685WDF1
5/2/2019,87243QAB2
5/2/2019,P989MJAY7
5/2/2019,724479AN0
5/2/2019,628530BC0
5/2/2019,581557AZ8
